Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,86.2,87.65,86.12,86.84,84.01,7020700
2018-04-17,87.48,88.17,87.41,87.9,85.04,6801900
2018-04-18,88.2,88.56,87.51,87.57,84.72,5854000
2018-04-19,87.41,88.04,86.58,87.89,85.03,6588300
2018-04-20,87.87,88.38,86.67,86.98,84.15,8324900
2018-04-23,86.89,87.08,86.02,86.1,83.3,7360500
2018-04-24,86.77,86.91,85.57,86.53,83.71,8469700
2018-04-25,86.32,87.7,85.89,87.17,84.33,6760400
2018-04-26,87.17,88.32,86.9,87.94,85.08,5782500
2018-04-27,87.87,87.9,87.08,87.29,84.45,5651100
2018-04-30,87.94,89.66,87.92,88.46,85.58,8685900
2018-05-01,87.67,88.01,86.35,87.41,84.57,6957700
2018-05-02,87.13,87.25,86.16,86.34,83.53,6083000
2018-05-03,86.19,86.29,85.12,86.23,83.42,6876100
2018-05-04,86.0,88.1,85.36,87.53,84.68,6971500
2018-05-07,87.49,87.5,85.27,85.47,82.69,10783600
2018-05-08,85.52,85.85,84.92,85.74,82.95,6551400
2018-05-09,82.56,83.68,82.0,83.06,80.36,32265200
2018-05-10,82.64,83.77,82.01,82.69,80.5,15857600
2018-05-11,82.69,83.52,81.95,83.38,81.17,9934800
2018-05-14,83.89,84.79,83.65,84.39,82.16,9499200
2018-05-15,84.06,84.88,83.8,84.52,82.28,9322900
2018-05-16,84.87,86.13,84.74,86.13,83.85,13733600
2018-05-17,87.04,87.59,83.85,84.49,82.26,29720700
2018-05-18,84.24,84.44,83.49,83.64,81.43,12043100
2018-05-21,84.14,84.54,83.82,84.51,82.27,10715700
2018-05-22,84.5,84.81,83.29,83.37,81.16,8067300
2018-05-23,82.95,83.02,82.17,83.01,80.81,9399200
2018-05-24,83.0,83.0,81.78,82.85,80.66,8576200
2018-05-25,82.85,83.34,82.32,82.46,80.28,5913500
2018-05-29,81.96,82.52,81.81,82.4,80.22,8428200
2018-05-30,82.45,84.23,82.26,84.12,81.89,9314100
2018-05-31,83.94,84.31,82.51,82.54,80.36,11468700
2018-06-01,83.04,83.42,82.85,82.99,80.79,5237900
2018-06-04,83.5,85.52,83.3,85.42,83.16,10922000
2018-06-05,85.45,85.47,84.25,84.62,82.38,8281400
2018-06-06,84.95,85.15,84.35,84.56,82.32,7362800
